"id";"code";"name";"image";"level";"lv1_code";"lv1_name";"lv2_code";"lv2_name";"pinyin";"remark";"sub_cats"
"281";"030102";"面部洗护";"";"3";"03";"日化清洁";"0301";"美妆洗护";"030102rihuaqingjimeizhuangxihumianbuxihu";"洗面奶，面膜，水乳，防晒，面乳，面霜等";""
"235";"010305";"咖啡奶茶类";"";"3";"01";"饮品类";"0103";"冲饮类";"010305yinpinleichongyinleikafeinaichalei";"咖啡，奶茶，咖啡奶茶";""
"316";"041815";"鞋类";"";"3";"04";"生活百货";"0418";"家庭日用";"041815shenghuobaihuojiatingriyongxielei";"男女拖鞋，儿童拖鞋，雨靴，雨鞋，鞋垫，鞋带等";""
"380";"0502";"加工饮品";"";"2";"05";"自采加工";"";"";"0502zicaijiagongjiagongyinpin";"";""
"360";"0501";"加工热食";"";"2";"05";"自采加工";"";"";"0501zicaijiagongjiagongreshi";"";""
"340";"0419";"宠物用品";"";"2";"04";"生活百货";"";"";"0419shenghuobaihuochongwuyongpin";"";""
"318";"041817";"卫浴用品";"";"3";"04";"生活百货";"0418";"家庭日用";"041817shenghuobaihuojiatingriyongweiyuyongpin";"马桶垫，马桶盖，淋浴喷头，洗手盆等";""
"317";"041816";"首饰类";"";"3";"04";"生活百货";"0418";"家庭日用";"041816shenghuobaihuojiatingriyongshoushilei";"";""
"312";"041811";"纺织类";"";"3";"04";"生活百货";"0418";"家庭日用";"041811shenghuobaihuojiatingriyongfangzhilei";"毛巾，浴巾，袜子，内衣，衣服等";""
"311";"041810";"休闲娱乐";"";"3";"04";"生活百货";"0418";"家庭日用";"041810shenghuobaihuojiatingriyongxiuxianyule";"耳机，mp3，玩具，棋牌类等";""
"310";"041805";"报刊书籍";"";"3";"04";"生活百货";"0418";"家庭日用";"041805shenghuobaihuojiatingriyongbaokanshuji";"";""
"232";"010302";"茶叶类";"";"3";"01";"饮品类";"0103";"冲饮类";"010302yinpinleichongyinleichayelei";"茶叶，茶包，茶砖，铁观音，普洱，碧螺春，毛峰，毛尖，白菊，龙井，竹叶青，菊，大红袍，白毫，姜茶，花";""
"231";"010301";"奶粉类";"";"3";"01";"饮品类";"0103";"冲饮类";"010301yinpinleichongyinleinaifenlei";"成人奶粉，婴幼奶粉，奶米粉，婴儿营养食品，速溶牛奶，蛋白";""
